Author,Book,Image,Year,Description,Buy,Book_old,file_number
Christina C. Jones,Equivalent exchange,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Equivalent exchange,243
Christina C. Jones,Getting schooled,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Getting schooled,236
Christina C. Jones,I think I might love you,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,I think I might love you,237
Christina C. Jones,I Think I Might Need You,https://m.media-amazon.com/images/I/51KgPZuX0vL.jpg,2019,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,I think I might need you ,238
Christina C. Jones,I think I might want you,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,"Joia Love is all about... well, Joia. Her primary interests right now are how creative she can get with her video camera, how much weight she can bench press, and her social media brand.
 
 A man doesn't even factor into her top five.
 
 Especially not Theodore Graham, the ex-boyfriend committed to becoming her next boyfriend. Teddy's charm and funny demeanor aren't limited to his videos, and he's fully prepared to pull out all the stops to rekindle their college romance.
 
 In the midst of a shocking revelation, Joia is just trying to process it all, while Teddy is trying to secure his place at her side.
 
 She may not want a replay with Teddy, but as it turns out... she might need him after all.",https://www.amazon.com/Think-Might-Need-Love-Sisters-ebook/dp/B07SLGYW95/ref=sr_1_1?dchild=1&keywords=I+Think+I+Might+Need+You+Christina+C+Jones&qid=1615778693&s=digital-text&sr=1-1,I think I might want you ,239
Christina C. Jones,Love notes,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Love notes,240
Christina C. Jones,Relationship goals,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Relationship goals ,241
Christina C. Jones,Wonder,https://m.media-amazon.com/images/I/51OlHqZFW9L.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Wonder,242
Denise Williams,How to Fail at Flirting,,,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,How to Fail at Flirting,341
Farrah Rochon,A Forever Kind of Love,"https://images-na.ssl-images-amazon.com/images/I/51XKXtBKJCL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",2014,,,A forever kind of love,206
Farrah Rochon,Delectable Desire,https://m.media-amazon.com/images/I/81EaaNOqY+L._AC_UY218_.jpg,2013,"In high school, Mya was Corey's girl. Now she's a sought after Broadway designer who won't give the former pro-basball player the time of day - until they're brought together to revive their close-knit community. Their passion is reawakened and this time Corey isn't letting her get away.",https://www.amazon.com/Forever-Kind-Love-Bayou-Dreams/dp/1410474348/ref=sr_1_1?dchild=1&keywords=A+forever+kind+of+love+Farrah+Rochon&qid=1615777697&s=digital-text&sr=1-1,Delectable desire,207
Farrah Rochon,Forevers promise,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,"Is he too sweet to be real?
 
 It's not unusual for Carter Drayson to be swayed by a pretty face. The artisan baker is a connoisseur of feminine beauty, and when sweet, delicate Lorraine walks into Lillian's bakery, he thinks only of how soon he can have her. Little does Carter know that she is Lorraine Hawthorne-Hayes, heiress to a jewelry dynasty. And he never expected her to make him feel this way...
 
 Lorraine is wary of Carter with good reasontoo many men have fallen in love with her bank account and not her heart. But Carter has a fortune of his own, and in his arms Lorraine discovers a passion she's never known. Is she just his treat of the week? Or will the perennial player actually become her lifetime love?",https://www.amazon.com/Delectable-Desire-Draysons-Sprinkled-Love-ebook/dp/B00B0A6XCI/ref=sr_1_1?dchild=1&keywords=Delectable+Desire+Farrah+Rochon&qid=1615777211&s=books&sr=1-1,Forevers promise,208
Farrah Rochon,I dare you,https://upload.wikimedia.org/wikipedia/commons/f/f9/Phoenicopterus_ruber_in_S%C3%A3o_Paulo_Zoo.jpg,2013,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,I dare you ,209
Farrah Rochon,Mr. Right Next Door,https://m.media-amazon.com/images/I/51P55m+yifL.jpg,2016,Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day Stepping to a New Day,,Mr right next door,210
